code;libelle;date;debit;credit
61100;Achat;2025-01-01;935;0
70000;Recette;2025-01-01;0;2565
61110;Achat;2025-01-02;1073;0
70000;Achat;2025-01-03;1333;0
70000;Recette;2025-01-03;0;1646
62000;Achat;2025-01-04;1214;0
61100;Achat;2025-01-05;1504;0
70000;Recette;2025-01-05;0;2456
61110;Achat;2025-01-06;1522;0
70000;Achat;2025-01-07;1228;0
70000;Recette;2025-01-07;0;2250
62000;Achat;2025-01-08;1715;0
61100;Achat;2025-01-09;1337;0
70000;Recette;2025-01-09;0;3549
61110;Achat;2025-01-10;1632;0
70000;Achat;2025-01-11;1270;0
70000;Recette;2025-01-11;0;1719
62000;Achat;2025-01-12;1234;0
61100;Achat;2025-01-13;800;0
70000;Recette;2025-01-13;0;2283
61110;Achat;2025-01-14;1684;0
70000;Achat;2025-01-15;1771;0
70000;Recette;2025-01-15;0;1802
62000;Achat;2025-01-16;999;0
61100;Achat;2025-01-17;1471;0
70000;Recette;2025-01-17;0;1888
61110;Achat;2025-01-18;1719;0
70000;Achat;2025-01-19;1570;0
70000;Recette;2025-01-19;0;2521
62000;Achat;2025-01-20;1871;0
61100;Achat;2025-01-21;1920;0
70000;Recette;2025-01-21;0;2486
61110;Achat;2025-01-22;979;0
70000;Achat;2025-01-23;1829;0
70000;Recette;2025-01-23;0;1849
62000;Achat;2025-01-24;1667;0
61100;Achat;2025-01-25;1750;0
70000;Recette;2025-01-25;0;3835
61110;Achat;2025-01-26;883;0
70000;Achat;2025-01-27;831;0
70000;Recette;2025-01-27;0;2662
62000;Achat;2025-01-28;1396;0
61100;Achat;2025-01-29;1151;0
70000;Recette;2025-01-29;0;3567
61110;Achat;2025-01-30;1956;0
70000;Achat;2025-01-31;1325;0
70000;Recette;2025-01-31;0;3239
62000;Achat;2025-02-01;1122;0
61100;Achat;2025-02-02;1692;0
70000;Recette;2025-02-02;0;2090
61110;Achat;2025-02-03;1627;0
70000;Achat;2025-02-04;1305;0
70000;Recette;2025-02-04;0;1917
62000;Achat;2025-02-05;1681;0
61100;Achat;2025-02-06;1980;0
70000;Recette;2025-02-06;0;2905
61110;Achat;2025-02-07;1265;0
70000;Achat;2025-02-08;1969;0
70000;Recette;2025-02-08;0;3311
62000;Achat;2025-02-09;1573;0
61100;Achat;2025-02-10;1322;0
70000;Recette;2025-02-10;0;3940
61110;Achat;2025-02-11;1328;0
70000;Achat;2025-02-12;1320;0
70000;Recette;2025-02-12;0;1901
62000;Achat;2025-02-13;1149;0
61100;Achat;2025-02-14;1403;0
70000;Recette;2025-02-14;0;2574
61110;Achat;2025-02-15;1241;0
70000;Achat;2025-02-16;1307;0
70000;Recette;2025-02-16;0;3701
62000;Achat;2025-02-17;822;0
61100;Achat;2025-02-18;1400;0
70000;Recette;2025-02-18;0;3200
61110;Achat;2025-02-19;1195;0
70000;Achat;2025-02-20;1305;0
70000;Recette;2025-02-20;0;2320
62000;Achat;2025-02-21;1309;0
61100;Achat;2025-02-22;857;0
70000;Recette;2025-02-22;0;3652
61110;Achat;2025-02-23;1280;0
70000;Achat;2025-02-24;1982;0
70000;Recette;2025-02-24;0;3486
62000;Achat;2025-02-25;1987;0
61100;Achat;2025-02-26;1739;0
70000;Recette;2025-02-26;0;2662
61110;Achat;2025-02-27;1842;0
70000;Achat;2025-02-28;875;0
70000;Recette;2025-02-28;0;3994
62000;Achat;2025-03-01;1132;0
61100;Achat;2025-03-02;1105;0
70000;Recette;2025-03-02;0;3397
61110;Achat;2025-03-03;988;0
70000;Achat;2025-03-04;1268;0
70000;Recette;2025-03-04;0;1983
62000;Achat;2025-03-05;904;0
61100;Achat;2025-03-06;1347;0
70000;Recette;2025-03-06;0;2601
61110;Achat;2025-03-07;1733;0
70000;Achat;2025-03-08;1502;0
70000;Recette;2025-03-08;0;3163
62000;Achat;2025-03-09;1761;0
61100;Achat;2025-03-10;1880;0
70000;Recette;2025-03-10;0;3767
61110;Achat;2025-03-11;858;0
70000;Achat;2025-03-12;968;0
70000;Recette;2025-03-12;0;2742
62000;Achat;2025-03-13;1263;0
61100;Achat;2025-03-14;1662;0
70000;Recette;2025-03-14;0;3774
61110;Achat;2025-03-15;860;0
70000;Achat;2025-03-16;1712;0
70000;Recette;2025-03-16;0;1843
62000;Achat;2025-03-17;1011;0
61100;Achat;2025-03-18;1166;0
70000;Recette;2025-03-18;0;3831
61110;Achat;2025-03-19;976;0
70000;Achat;2025-03-20;1236;0
70000;Recette;2025-03-20;0;3530
62000;Achat;2025-03-21;1886;0
61100;Achat;2025-03-22;1051;0
70000;Recette;2025-03-22;0;2128
61110;Achat;2025-03-23;1919;0
70000;Achat;2025-03-24;1277;0
70000;Recette;2025-03-24;0;3306
62000;Achat;2025-03-25;1552;0
61100;Achat;2025-03-26;1339;0
70000;Recette;2025-03-26;0;3222
61110;Achat;2025-03-27;1354;0
70000;Achat;2025-03-28;1719;0
70000;Recette;2025-03-28;0;1804
62000;Achat;2025-03-29;1549;0
61100;Achat;2025-03-30;1382;0
70000;Recette;2025-03-30;0;3248
61110;Achat;2025-03-31;1662;0
70000;Achat;2025-04-01;893;0
70000;Recette;2025-04-01;0;2724
62000;Achat;2025-04-02;1586;0
61100;Achat;2025-04-03;1453;0
70000;Recette;2025-04-03;0;3885
61110;Achat;2025-04-04;1073;0
70000;Achat;2025-04-05;1644;0
70000;Recette;2025-04-05;0;2154
62000;Achat;2025-04-06;1934;0
61100;Achat;2025-04-07;1982;0
70000;Recette;2025-04-07;0;3785
61110;Achat;2025-04-08;1661;0
70000;Achat;2025-04-09;859;0
70000;Recette;2025-04-09;0;3913
62000;Achat;2025-04-10;1016;0
61100;Achat;2025-04-11;943;0
70000;Recette;2025-04-11;0;3929
61110;Achat;2025-04-12;899;0
70000;Achat;2025-04-13;1685;0
70000;Recette;2025-04-13;0;3455
62000;Achat;2025-04-14;1450;0
61100;Achat;2025-04-15;1866;0
70000;Recette;2025-04-15;0;3422
61110;Achat;2025-04-16;901;0
70000;Achat;2025-04-17;995;0
70000;Recette;2025-04-17;0;3977
62000;Achat;2025-04-18;1752;0
61100;Achat;2025-04-19;1677;0
70000;Recette;2025-04-19;0;2801
61110;Achat;2025-04-20;1424;0
70000;Achat;2025-04-21;1920;0
70000;Recette;2025-04-21;0;2293
62000;Achat;2025-04-22;1824;0
61100;Achat;2025-04-23;1641;0
70000;Recette;2025-04-23;0;3438
61110;Achat;2025-04-24;1341;0
70000;Achat;2025-04-25;1058;0
70000;Recette;2025-04-25;0;1598
62000;Achat;2025-04-26;1122;0
61100;Achat;2025-04-27;940;0
70000;Recette;2025-04-27;0;3796
61110;Achat;2025-04-28;1662;0
70000;Achat;2025-04-29;1772;0
70000;Recette;2025-04-29;0;1543
62000;Achat;2025-04-30;1353;0
